SrNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentnType,AmountUSD,HundredMillionOrMore,OneMillionOrMore,Funded,Industry,BangaloreBased,InMegaCity,TechRelated,PrivateEquity,SeedFunding,PrivateOrSeed,Year,FiveMillionOrMore,TopInvestor
1,20-Jan,BYJU’S,E-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity Round,200000000,Yes,Yes,Yes,Other,Yes,Yes,Yes,Yes,No,Yes,2020,1,No
2,20-Jan,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048394,No,Yes,Yes,Other,No,No,No,No,No,No,2020,1,No
3,20-Jan,Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,18358860,No,Yes,Yes,Other,Yes,Yes,Yes,No,No,No,2020,1,No
4,20-Jan,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000,No,Yes,Yes,Other,No,Yes,Yes,No,No,No,2020,0,No
5,20-Jan,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2020,0,No
6,20-Jan,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2020,1,No
7,20-Jan,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000,Yes,Yes,Yes,Other,No,No,No,Yes,No,Yes,2020,1,No
8,19-Dec,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
9,19-Dec,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
10,19-Dec,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed Funding,50000000,No,Yes,Yes,Other,Yes,Yes,No,No,Yes,Yes,2019,1,No
11,19-Dec,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
12,19-Dec,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
13,19-Dec,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,30000000,No,Yes,Yes,Other,Yes,Yes,Yes,No,No,No,2019,1,No
14,19-Dec,InCred,Finance,Non-Banking Financial Company,Mumbai,Unknown High Net-Worth Individuals,Debt Funding,5900000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,1,No
15,19-Dec,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Round,2000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,0,No
16,19-Dec,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
17,19-Dec,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000,Yes,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
18,19-Nov,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000,Yes,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
19,19-Nov,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000,No,No,Yes,Other,No,No,No,No,No,No,2019,0,No
20,19-Nov,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed Funding,1500000,No,Yes,Yes,Other,No,No,No,No,Yes,Yes,2019,0,No
21,19-Nov,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0,No,No,No,Other,No,No,No,No,No,No,2019,0,No
22,19-Nov,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
23,19-Nov,Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,26000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
24,19-Nov,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411265,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
25,19-Nov,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000,No,Yes,Yes,Other,No,No,No,No,Yes,Yes,2019,0,No
26,19-Nov,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000,Yes,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
27,19-Nov,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed Funding,300000,No,No,Yes,Other,No,No,No,No,Yes,Yes,2019,0,No
28,19-Nov,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220000000,Yes,Yes,Yes,Other,No,No,Yes,No,Yes,Yes,2019,1,No
29,19-Nov,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,1,No
30,19-Nov,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000,Yes,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
31,19-Nov,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,nan,200000000,Yes,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
32,19-Nov,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000,Yes,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
33,19-Oct,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox,Series D,45000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
34,19-Oct,Udaan,B2B,Business development,Bangalore,"Altimeter Capital, DST Global",Series D,585000000,Yes,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
35,19-Oct,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0,No,No,No,Other,No,No,No,No,No,No,2019,0,No
36,19-Sep,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,0,No
37,19-Sep,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000,No,Yes,Yes,Other,No,Yes,Yes,No,No,No,2019,0,No
38,19-Sep,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000,No,Yes,Yes,Other,No,Yes,No,Yes,No,Yes,2019,1,No
39,19-Sep,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
40,19-Sep,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
41,19-Sep,Myelin Foundry,Information Technology,Deep-technology,Bangalore,Endiya Partners,Seed Funding,1000000,No,Yes,Yes,Other,Yes,Yes,No,No,Yes,Yes,2019,0,No
42,19-Sep,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,1,No
43,19-Sep,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000,Yes,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
44,19-Sep,Vyapar App,Accounting,Mobile-based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,5000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
45,19-Aug,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
46,19-Aug,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,1,No
47,19-Aug,MyPetrolPump,Retail,Fuel Delivery,Bangalore,Unknown High Net-Worth Individuals,Seed Funding Round,1600000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,0,No
48,19-Aug,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000,Yes,Yes,Yes,Other,No,Yes,No,No,No,No,2019,1,No
49,19-Aug,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
50,19-Aug,Meesho,E-Commerce,Social Commerce,Bangalore,Naspers,Series D,125000000,Yes,Yes,Yes,Other,Yes,Yes,Yes,No,No,No,2019,1,No
51,19-Aug,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,11000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
52,19-Aug,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
53,19-Aug,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
54,19-Aug,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000,No,No,Yes,Other,Yes,Yes,No,No,No,No,2019,0,No
55,19-Aug,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110000000,Yes,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
56,19-Aug,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
57,19-Aug,HungerBox,Food and Beverage,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,6590000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
58,19-Aug,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,1000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,0,No
59,19-Aug,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0,No,No,No,Other,No,No,No,No,No,No,2019,0,No
60,19-Aug,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,70000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
61,19-Aug,Rapido Bike Taxi,Transportation,Bike Taxi,Bangalore,Westbridge Capital,Series B,3900000000,Yes,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
62,19-Jul,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
63,19-Jul,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,0,No
64,19-Jul,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145000,No,No,Yes,Other,No,Yes,No,No,No,No,2019,0,No
65,19-Jul,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,0,No
66,19-Jul,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
67,19-Jul,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500000,No,No,Yes,Other,No,Yes,No,No,No,No,2019,0,No
68,19-Jul,"""BYJU\\'S""",EdTech,Education,Bangalore,Qatar Investment Authority,Private Equity Round,150000000,Yes,Yes,Yes,Other,Yes,Yes,Yes,Yes,No,Yes,2019,1,No
69,19-Jul,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
70,19-Jul,Ezyhaul,Tech,Logistics,Singapore,Undisclosed Investors,Series B,16000000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,Yes
71,19-Jul,Indus OS,Tech,Smartphone Operating System,Mumbai,Ventureast,Series B,5750000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,1,No
72,19-Jul,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,0,No
73,19-Jul,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,0,No
74,19-Jul,Board Infinity,EdTech,Full-stack career platform,Mumbai,Multiple Angel Investors,Angel Round,319605,No,No,Yes,Other,No,Yes,Yes,No,No,No,2019,0,No
75,19-Jun,NoBroker,E-Commerce,Real Estate,Bangalore,General Atlantic,Series C,51000000,No,Yes,Yes,Other,Yes,Yes,Yes,No,No,No,2019,1,No
76,19-Jun,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,10000000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,1,No
77,19-Jun,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",nan,4889976,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,0,No
78,19-Jun,Avail Finance,Finance,FinTech,Bangalore,Matrix Partners,Series A,9000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
79,19-Jun,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,75000000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,1,No
80,19-Jun,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
81,19-Jun,Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,pre-Series A,2500000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,0,No
82,19-Jun,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",nan,2739035,No,Yes,Yes,Other,No,No,No,No,No,No,2019,0,No
83,19-Jun,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,1,No
84,19-Jun,Pratilipi,Digital Media,E-Books,Bangalore,Qiming Venture Partners,Series B,15109500,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
85,19-Jun,Bolo App,Digital Media,Video Platform,Bangalore,Nexus Venture Partners,Seed Funding,430200,No,No,Yes,Other,Yes,Yes,No,No,Yes,Yes,2019,0,No
86,19-Jun,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
87,19-Jun,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
88,19-Jun,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,0,No
89,19-Jun,Leegality,Services,Digital Documentation,Mumbai/Bangalore,Mumbai Angels,Series A,3400000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,0,No
90,19-May,Ola Electric,Transport,Cabs,Bangalore,Tata Sons,Series A,0,No,No,No,Other,Yes,Yes,No,No,No,No,2019,0,No
91,19-May,Saahas Zero Waste,Waste Management Service,Optimization,Bangalore,C4D Partners,Venture - Series Unknown,868600,No,No,Yes,Other,Yes,Yes,No,No,No,No,2019,0,No
92,19-May,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0,No,No,No,Other,No,No,Yes,No,No,No,2019,0,No
93,19-May,BlackBuck,Transport,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000,Yes,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
94,19-May,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2019,1,No
95,19-May,Ather Energy,Automobile,Electric Vehicle,Bangalore,Sachin Bansal,Series C,51000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
96,19-May,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000,Yes,Yes,Yes,Other,No,Yes,Yes,No,No,No,2019,1,No
97,19-May,GlowRoad,E-commerce,Retail,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,11500000,No,Yes,Yes,Other,Yes,Yes,Yes,No,No,No,2019,1,No
98,19-May,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,1,No
99,19-May,Kuvera,Finance,Wealth Management,Bangalore,Eight Roads,Series A,45000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2019,1,No
100,19-Apr,Medlife,E-commerce,Online Medicine,Bangalore,Prasid Uno Family Trust,Private Equity,17000000,No,Yes,Yes,Other,Yes,Yes,Yes,Yes,No,Yes,2019,1,No
101,19-Apr,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665,No,No,Yes,Other,No,No,Yes,Yes,No,Yes,2019,0,No
102,19-Apr,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,0,No
103,19-Apr,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,200000,No,No,Yes,Other,No,No,No,No,Yes,Yes,2019,0,No
104,19-Apr,Setu,Fintech,Banking,Bangalore,Lightspeed India Partners,Seed Funding,3500000,No,Yes,Yes,Other,Yes,Yes,Yes,No,Yes,Yes,2019,0,No
105,19-Apr,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,6320820,No,Yes,Yes,Other,No,Yes,Yes,No,No,No,2019,1,No
106,19-Apr,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495,No,Yes,Yes,Other,No,Yes,Yes,No,No,No,2019,0,No
107,19-Apr,Unacademy,Edtech,E-learning,Bangalore,Kalyan Krishnamurthy,Seed/Angel Funding,307000,No,No,Yes,Other,Yes,Yes,Yes,No,Yes,Yes,2019,0,No
108,19-Apr,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000,No,Yes,Yes,Other,No,Yes,Yes,No,No,No,2019,1,No
109,19-Apr,My Healthcare,E-commerce,Software Solutions,Bangalore,Sixth Sense Ventures,Series A,3000000,No,Yes,Yes,Other,Yes,Yes,Yes,No,No,No,2019,0,No
110,19-Apr,KrazyBee,E-commerce,Lending Platform,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,14342000,No,Yes,Yes,Other,Yes,Yes,Yes,No,No,No,2019,1,No
111,19-Apr,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,5000000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
112,19-Apr,Increff,Technology,Supply-chain technology solutions,Bangalore,"021 Capita, Binny Bansal",Series A,3000000,No,Yes,Yes,Other,Yes,Yes,Yes,No,No,No,2019,0,No
113,19-Feb,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0,No,No,No,Other,No,No,Yes,No,No,No,2019,0,No
114,19-Feb,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000,Yes,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
115,19-Feb,NanoClean Global,Unknownotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000,No,No,Yes,Other,No,Yes,No,No,No,No,2019,0,No
116,19-Feb,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,100000000,Yes,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
117,19-Jan,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000,Yes,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
118,19-Jan,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000,No,Yes,Yes,Other,No,No,No,No,No,No,2019,1,No
119,19-Jan,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking Financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2019,1,No
120,18-Dec,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,700000,No,No,Yes,Other,No,No,No,No,Yes,Yes,2018,0,No
121,18-Dec,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,50000000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2018,1,No
122,18-Dec,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000,No,No,Yes,Other,No,Yes,No,No,No,No,2018,0,No
123,18-Dec,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,572000,No,No,Yes,Other,No,No,No,No,No,No,2018,0,No
124,18-Dec,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000,No,No,Yes,Other,No,No,No,No,Yes,Yes,2018,0,No
125,18-Dec,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000,No,Yes,Yes,Other,No,No,No,No,Yes,Yes,2018,0,No
126,18-Dec,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000,No,Yes,Yes,Other,No,No,No,No,No,No,2018,0,No
127,18-Nov,GoDesi,Food and Beverage,Regional Flavours,Bangalore,Lead Angels Network,Seed/Angel Funding,138995,No,No,Yes,Other,Yes,Yes,No,No,Yes,Yes,2018,0,No
128,18-Nov,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2018,1,No
129,18-Nov,Meesho,Ecommerce,Social Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2018,1,No
130,18-Nov,Mobile Premier League,Gaming,Mobile e-Sports,Bangalore,Undisclosed Investors,Series A,500000,No,No,Yes,Other,Yes,Yes,No,No,No,No,2018,0,Yes
131,18-Nov,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,1000000,No,Yes,Yes,Other,No,No,No,No,No,No,2018,0,No
132,18-Nov,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bangalore",Tiger Global,Series A,1000000,No,Yes,Yes,Other,No,No,No,No,No,No,2018,0,No
133,18-Nov,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,1300000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2018,0,No
134,18-Nov,DriveU,Transport,On-Demand Drivers,Bangalore,Stevens Creek Ventures,Mezzanine,1000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2018,0,No
135,18-Nov,CleanseCar,Services,Car Wash,Bangalore,Venture Catalysts,Seed/Angel Funding,500000,No,No,Yes,Other,Yes,Yes,No,No,Yes,Yes,2018,0,No
136,18-Nov,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,300000000,Yes,Yes,Yes,Other,No,No,No,No,No,No,2018,1,No
137,18-Nov,HealthifyMe,Health and Wellness,Wellness Coach,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),6000000,No,Yes,Yes,Other,Yes,Yes,No,No,No,No,2018,1,No
138,18-Nov,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,278000,No,No,Yes,Other,No,No,No,No,Yes,Yes,2018,0,No
139,18-Nov,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000,No,Yes,Yes,Other,No,Yes,No,No,No,No,2018,1,No
140,18-Nov,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,0,No,No,No,Other,No,No,No,No,Yes,Yes,2018,0,No
141,18-Nov,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bangalore,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000,No,Yes,Yes,Other,No,No,No,No,No,No,2018,0,No
142,18-Nov,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000,No,Yes,Yes,Other,No,No,Yes,No,No,No,2018,1,No
