SrNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentnType,AmountUSD,HundredMillionOrMore,OneMillionOrMore,Funded,Industry,BangaloreBased,InMegaCity,TechRelated,PrivateEquity,SeedFunding,PrivateOrSeed,Year,FiveMillionOrMore,TopInvestor
1003,17-Feb,Zenatix,Technology,IoT Based Energy Monitoring & Control,Gurgaon,"pi Ventures, Blume Ventures",Private Equity,1200000,No,Yes,Yes,Other,No,No,Yes,Yes,No,Yes,2017,0,No
1004,17-Feb,Cartrade,Consumer Internet,Automobile Classifieds Portal,Mumbai,Temasek Holdings,Private Equity,55000000,No,Yes,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,1,No
1005,17-Feb,MindYourFleet,Technology,Car Rental Software Solutions,Noida,"Japan Vyas, Tarun Adlakha",Seed Funding,0,No,No,No,Other,No,No,Yes,No,Yes,Yes,2017,0,No
1006,17-Feb,Edurev,Consumer Internet,Online Education Portal,Gurgaon,Facebook FB Start programme,Seed Funding,40000,No,No,Yes,Consumer Internet,No,No,Yes,No,Yes,Yes,2017,0,No
1007,17-Feb,Voonik,ECommerce,Women Apparel & Lifestyle etailer,Bangalore,"RB Investments, Sequoia Capital",Private Equity,6000000,No,Yes,Yes,Other,Yes,Yes,No,Yes,No,Yes,2017,1,No
1008,17-Feb,1Crowd,Finance,Startup Crowd-funding platform,Mumbai,Ganesh Natarajan,Seed Funding,0,No,No,No,Other,No,Yes,No,No,Yes,Yes,2017,0,No
1009,17-Feb,Wooplr,ECommerce,Women Fashion Portal,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,8000000,No,Yes,Yes,Other,Yes,Yes,No,Yes,No,Yes,2017,1,No
1010,17-Feb,48East,ECommerce,Online Food Delivery Platform,Bangalore,Al Dhaheri family,Private Equity,500000,No,No,Yes,Other,Yes,Yes,No,Yes,No,Yes,2017,0,No
1011,17-Feb,Redesyn,Consumer Internet,Tech Enabler for Artists,Mumbai,ThinQbate,Seed Funding,0,No,No,No,Consumer Internet,No,Yes,Yes,No,Yes,Yes,2017,0,No
1012,17-Feb,Sigtuple,Technology,Medical Automation platform,Bangalore,"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",Private Equity,5800000,No,Yes,Yes,Other,Yes,Yes,Yes,Yes,No,Yes,2017,1,No
1013,17-Feb,Flutura,Technology,Decision Sciences Analytics Solutions,Bangalore,"Vertex Ventures, Lumis Partners",Private Equity,7500000,No,Yes,Yes,Other,Yes,Yes,Yes,Yes,No,Yes,2017,1,No
1014,17-Feb,Wassup,Consumer Internet,On Demand Laundry & Dry Cleaning Services,Chennai,Anil Jain & other HNIs,Private Equity,3200000,No,Yes,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,0,No
1015,17-Feb,Better Mortgage,Consumer Internet,Mortgage Offering Platform,Gurgaon,"Kleiner Perkins, Goldman Sachs, Pine Brook",Private Equity,15000000,No,Yes,Yes,Consumer Internet,No,No,Yes,Yes,No,Yes,2017,1,No
1016,17-Feb,Nurturey,Consumer Internet,Parenting Mobile App,New Delhi,Mohit Joshi & Others,Seed Funding,330000,No,No,Yes,Consumer Internet,No,Yes,Yes,No,Yes,Yes,2017,0,No
1017,17-Feb,Fyle,Technology,Expense Management Solution,Bangalore,Pravega Ventures,Seed Funding,400000,No,No,Yes,Other,Yes,Yes,Yes,No,Yes,Yes,2017,0,No
1018,17-Feb,GoBumpr,Consumer Internet,Online Bike & Car Services provider,Chennai,"Mahalingam K, Girish Mathrubootham",Seed Funding,300000,No,No,Yes,Consumer Internet,No,Yes,Yes,No,Yes,Yes,2017,0,No
1019,17-Feb,CCAvenue,Consumer Internet,Online Payment Gateway,Mumbai,Infibeam,Private Equity,22400000,No,Yes,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,1,No
1020,17-Feb,Connaizen,Technology,Data Analytics platform,New Delhi,Vikram Sud,Seed Funding,0,No,No,No,Other,No,Yes,Yes,No,Yes,Yes,2017,0,No
1021,17-Feb,Innov8,Consumer Internet,Co-Working Space Platform,New Delhi,"Vijay Shekhar Sharma, Rajan Anandan, Kunal Shah, Girish Mathrubootham, Punit Soni, Anand Chandrasekaran, Sunil Kalra, Utsav Somani, Vishal Gondal, Vikram Limaye",Seed Funding,0,No,No,No,Consumer Internet,No,Yes,Yes,No,Yes,Yes,2017,0,No
1022,17-Feb,ZestMoney,Consumer Internet,Online Consumer Lending platform,Bangalore,"PayU, Ribbit Capital, Omidyar Network",Private Equity,6500000,No,Yes,Yes,Consumer Internet,Yes,Yes,Yes,Yes,No,Yes,2017,1,No
1023,17-Feb,AirZaar,Technology,Drone operations management platform,Missourie,Quake Capital,Seed Funding,350000,No,No,Yes,Other,No,No,Yes,No,Yes,Yes,2017,0,No
1024,17-Feb,Truebil,Consumer Internet,Online Marketplace for Used Cars,Mumbai,Shunwei Capital,Private Equity,3000000,No,Yes,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,0,No
1025,17-Feb,YourStory,Consumer Internet,Online Media,Bangalore,"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT",Private Equity,3000000,No,Yes,Yes,Consumer Internet,Yes,Yes,Yes,Yes,No,Yes,2017,0,No
1026,17-Feb,Imaginate,Technology,AR & VR platform,Hyderabad,SRI Capital,Seed Funding,500000,No,No,Yes,Other,No,No,Yes,No,Yes,Yes,2017,0,No
1027,17-Feb,The Ken,Consumer Internet,Online Media Platform,Bangalore,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",Seed Funding,400000,No,No,Yes,Consumer Internet,Yes,Yes,Yes,No,Yes,Yes,2017,0,No
1028,17-Feb,Urban Ladder,ECommerce,Online Furniture Store,Bangalore,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",Private Equity,15200000,No,Yes,Yes,Other,Yes,Yes,No,Yes,No,Yes,2017,1,No
1029,17-Feb,Aisle,Consumer Internet,Online match-making app,Bangalore,"Konglo Ventures, White Unicorn Ventures, LetsVenture",Seed Funding,0,No,No,No,Consumer Internet,Yes,Yes,Yes,No,Yes,Yes,2017,0,No
1030,17-Feb,TownScript,Consumer Internet,DIY event registration and ticketing portal,Pune,BookMyShow,Private Equity,0,No,No,No,Consumer Internet,No,No,Yes,Yes,No,Yes,2017,0,No
1031,17-Feb,Leopetra,eCommerce,Solution provider for pet needs,Mumbai,Facebook FBStart,Seed Funding,40000,No,No,Yes,Other,No,Yes,No,No,Yes,Yes,2017,0,No
1032,17-Feb,Blood n Care,Consumer Internet,First Aid care app,Gurgaon,Facebook FBStart,Seed Funding,40000,No,No,Yes,Consumer Internet,No,No,Yes,No,Yes,Yes,2017,0,No
1033,17-Feb,Flipkart,eCommerce,Online Marketplace,Bangalore,"Bennett, Coleman and Co. Ltd (BCCL)",Private Equity,38700000,No,Yes,Yes,Other,Yes,Yes,No,Yes,No,Yes,2017,1,No
1034,17-Feb,True Balance,Consumer Internet,Mobile balance Checking App,Gurgaon,"Softbank Ventures Korea, IMM Investment",Private Equity,15000000,No,Yes,Yes,Consumer Internet,No,No,Yes,Yes,No,Yes,2017,1,No
1035,17-Feb,Vebbler,Consumer Internet,Photo Sharing for Groups,Bangalore,Facebook FBStart,Seed Funding,40000,No,No,Yes,Consumer Internet,Yes,Yes,Yes,No,Yes,Yes,2017,0,No
1036,17-Feb,Get My Parking,Consumer Internet,Smart Parking Platform,New Delhi,"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal",Private Equity,1100000,No,Yes,Yes,Consumer Internet,No,Yes,Yes,Yes,No,Yes,2017,0,No
1037,17-Feb,Lets Reap,Consumer Internet,B2B Mobile App for Pharmacies,Mumbai,"Kunal Shah, Sandeep Tandon, Nitin Saluja, Gagan Goyal",Seed Funding,0,No,No,No,Consumer Internet,No,Yes,Yes,No,Yes,Yes,2017,0,No
1038,17-Feb,Oglas,Consumer Internet,Mobile Advertising App,Noida,"Pankaj Rungta, Yogesh Agarwal",Seed Funding,0,No,No,No,Consumer Internet,No,No,Yes,No,Yes,Yes,2017,0,No
1039,17-Feb,Staydobe,Consumer Internet,Co-Living Spaces Aggregator,Bangalore,Ishan Manaktala,Seed Funding,0,No,No,No,Consumer Internet,Yes,Yes,Yes,No,Yes,Yes,2017,0,No
1040,17-Feb,Biryani By Kilo,Consumer Internet,Online Food Ordering & Delivery Portal,Gurgaon,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",Seed Funding,375000,No,No,Yes,Consumer Internet,No,No,Yes,No,Yes,Yes,2017,0,No
1041,17-Feb,Johari Shop,ECommerce,Online Jewellery etailer,Bangalore,Undisclosed Investors,Seed Funding,94000,No,No,Yes,Other,Yes,Yes,No,No,Yes,Yes,2017,0,Yes
